"plot_number","prow","pcol","grow","gcol","subplot"
219,15,"9",1,1,3
219,15,"9",1,2,2
219,15,"9",1,3,1
218,15,"10",1,1,3
218,15,"10",1,2,2
218,15,"10",1,3,1
137,15,"11",1,1,3
137,15,"11",1,2,2
137,15,"11",1,3,1
136,15,"12",1,1,3
136,15,"12",1,2,2
136,15,"12",1,3,1
113,15,"13",1,1,3
113,15,"13",1,2,2
113,15,"13",1,3,1
112,15,"14",1,1,3
112,15,"14",1,2,2
112,15,"14",1,3,1
432,16,"1",1,1,3
432,16,"1",1,2,2
432,16,"1",1,3,1
429,16,"2",1,1,3
429,16,"2",1,2,2
429,16,"2",1,3,1
408,16,"3",1,1,3
408,16,"3",1,2,2
408,16,"3",1,3,1
405,16,"4",1,1,3
405,16,"4",1,2,2
405,16,"4",1,3,1
326,16,"5",1,1,3
326,16,"5",1,2,2
326,16,"5",1,3,1
323,16,"6",1,1,3
323,16,"6",1,2,2
323,16,"6",1,3,1
302,16,"7",1,1,3
302,16,"7",1,2,2
302,16,"7",1,3,1
241,16,"8",1,1,3
241,16,"8",1,2,2
241,16,"8",1,3,1
220,16,"9",1,1,3
220,16,"9",1,2,2
220,16,"9",1,3,1
217,16,"10",1,1,3
217,16,"10",1,2,2
217,16,"10",1,3,1
138,16,"11",1,1,3
138,16,"11",1,2,2
138,16,"11",1,3,1
135,16,"12",1,1,3
135,16,"12",1,2,2
135,16,"12",1,3,1
114,16,"13",1,1,3
114,16,"13",1,2,2
114,16,"13",1,3,1
111,16,"14",1,1,3
111,16,"14",1,2,2
111,16,"14",1,3,1
433,17,"1",1,1,3
433,17,"1",1,2,2
433,17,"1",1,3,1
428,17,"2",1,1,3
428,17,"2",1,2,2
428,17,"2",1,3,1
409,17,"3",1,1,3
409,17,"3",1,2,2
409,17,"3",1,3,1
404,17,"4",1,1,3
404,17,"4",1,2,2
404,17,"4",1,3,1
327,17,"5",1,1,3
327,17,"5",1,2,2
327,17,"5",1,3,1
322,17,"6",1,1,3
322,17,"6",1,2,2
322,17,"6",1,3,1
303,17,"7",1,1,3
303,17,"7",1,2,2
303,17,"7",1,3,1
240,17,"8",1,1,3
240,17,"8",1,2,2
240,17,"8",1,3,1
221,17,"9",1,1,3
221,17,"9",1,2,2
221,17,"9",1,3,1
216,17,"10",1,1,3
216,17,"10",1,2,2
216,17,"10",1,3,1
139,17,"11",1,1,3
139,17,"11",1,2,2
139,17,"11",1,3,1
134,17,"12",1,1,3
134,17,"12",1,2,2
134,17,"12",1,3,1
115,17,"13",1,1,3
115,17,"13",1,2,2
115,17,"13",1,3,1
110,17,"14",1,1,3
110,17,"14",1,2,2
110,17,"14",1,3,1
434,18,"1",1,1,3
434,18,"1",1,2,2
434,18,"1",1,3,1
427,18,"2",1,1,3
427,18,"2",1,2,2
427,18,"2",1,3,1
410,18,"3",1,1,3
410,18,"3",1,2,2
410,18,"3",1,3,1
403,18,"4",1,1,3
403,18,"4",1,2,2
403,18,"4",1,3,1
328,18,"5",1,1,3
328,18,"5",1,2,2
328,18,"5",1,3,1
321,18,"6",1,1,3
321,18,"6",1,2,2
321,18,"6",1,3,1
304,18,"7",1,1,3
304,18,"7",1,2,2
304,18,"7",1,3,1
239,18,"8",1,1,3
239,18,"8",1,2,2
239,18,"8",1,3,1
222,18,"9",1,1,3
222,18,"9",1,2,2
222,18,"9",1,3,1
215,18,"10",1,1,3
215,18,"10",1,2,2
215,18,"10",1,3,1
140,18,"11",1,1,3
